"lnRR","Env_Type"
"0.341603489","PFR"
"0.513354531","GFR"
"0.74854533","GFR"
"0.795338375","GFR"
"0.845487574","GFR"
"0.823508245","GFR"
"0.499398332","GFR"
"0.753773263","GFR"
"0.864998222","GFR"
"0.897942237","GFR"
"0.952012387","GFR"
"0.289633956","PFR"
"0.485508609","PFR"
"0.446287515","PFR"
"0.568502393","PFR"
"0.559614315","PFR"
"0.554997981","PFR"
"0.665897852","PFR"
"0.800119849","PFR"
"0.892352932","PFR"
"0.770705662","PFR"
"0.508649469","Normal"
"0.584156839","Normal"
"0.602175629","Normal"
"0.642997833","Normal"
"0.619875481","Normal"
"0.470004177","Normal"
"0.536494063","Normal"
"0.542324648","Normal"
"0.570979522","Normal"
"0.536494063","Normal"
"0.161844695","GFR"
"0.449525507","GFR"
"0.414434255","GFR"
"0.359375622","GFR"
"0.28090426","GFR"
"0.327685663","GFR"
"0.640777607","GFR"
"0.790309603","GFR"
"0.839982322","GFR"
"0.891492946","GFR"
"0.215480461","PFR"
"0.470717305","PFR"
"0.53644653","PFR"
"0.716721534","PFR"
"0.765820531","PFR"
"0.343918677","PFR"
"0.487207388","PFR"
"0.582634879","PFR"
"0.694150299","PFR"
"0.769624069","PFR"
"0.612994991","PFR"
"0.805403543","PFR"
"0.8957123","PFR"
"1.013259137","PFR"
"1.004694351","PFR"
"0.698567993","PFR"
"0.916294672","PFR"
"1.061710724","PFR"
"1.140306267","PFR"
"1.105830921","PFR"
"0.533135845","PFR"
"0.736405876","PFR"
"0.836349345","PFR"
"1.003807144","PFR"
"1.074958465","PFR"
"0.653926556","PFR"
"0.805102888","PFR"
"1.006272171","PFR"
"1.058861305","PFR"
"1.102708429","PFR"
"0.168396759","PFR"
"0.395223796","PFR"
"0.657587814","PFR"
"0.654186673","PFR"
"0.677747217","PFR"
"0.101175227","PFR"
"0.393563499","PFR"
"0.455017292","PFR"
"0.659172035","PFR"
"0.700423614","PFR"
"0.549894814","PFR"
"0.74524041","PFR"
"0.875452687","PFR"
"0.974114491","PFR"
"0.987462913","PFR"
"0.675930313","PFR"
"0.862654796","PFR"
"0.979019708","PFR"
"1.036508294","PFR"
"1.104115641","PFR"
"0.250416711","GFR"
"0.245695055","GFR"
"0.245695055","GFR"
"0.28059702","GFR"
"0.140331191","GFR"
"0.310083814","GFR"
"0.305262238","GFR"
"0.258325036","GFR"
"0.123744859","GFR"
"0.305231712","GFR"
"0.368921882","GFR"
"0.386398703","GFR"
"0.45622302","PFR"
"0.593449569","PFR"
"0.833223838","PFR"
"0.874252707","PFR"
"0.123232406","Normal"
"0.111569707","Normal"
"0.124877359","Normal"
"0.186008679","Normal"
"0.103839821","Normal"
"0.090046383","Normal"
"0.123405191","Normal"
"0.144293068","Normal"
"0.128223792","Normal"
"0.119590355","Normal"
"0.128835691","Normal"
"0.194747634","Normal"
"0.110750748","Normal"
"0.086259939","Normal"
"0.122714989","Normal"
